-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.657us         0.01%      10.657us       1.332us           0 B           0 B           0 B           0 B             8  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us       9.632us         0.01%       9.632us       1.204us           0 B           0 B           0 B           0 B             8  
                                   cudaFuncSetAttribute         0.03%      63.329us         0.03%      63.329us       0.990us       8.287us         0.01%       8.287us       0.129us           0 B           0 B           0 B           0 B            64  
                                  triton_poi_fused_gt_0         0.03%      51.730us         0.04%      79.030us       9.879us       6.592us         0.01%       6.592us       0.824us           0 B           0 B           0 B           0 B             8  
                                  triton_poi_fused_gt_0         0.00%       0.000us         0.00%       0.000us       0.000us       6.592us         0.01%       6.592us       0.824us           0 B           0 B           0 B           0 B             8  
void at_cuda_detail::cub::DeviceCompactInitKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.759us         0.00%       5.759us       0.720us           0 B           0 B           0 B           0 B             8  
                                  cudaStreamIsCapturing         0.01%      12.439us         0.01%      12.439us       0.259us       4.961us         0.00%       4.961us       0.103us           0 B           0 B           0 B           0 B            48  
                               cudaEventRecordWithFlags         0.01%      29.170us         0.01%      29.170us       0.608us       4.193us         0.00%       4.193us       0.087us           0 B           0 B           0 B           0 B            48  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       4.162us         0.00%       4.162us       0.520us           0 B           0 B           0 B           0 B             8  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.817us         0.00%       2.817us       0.352us           0 B           0 B           0 B           0 B             8  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.177us         0.00%       2.177us       0.272us           0 B           0 B           0 B           0 B             8  
                                       cuLaunchKernelEx         0.07%     145.960us         0.07%     145.960us       2.281us       2.176us         0.00%       2.176us       0.034us           0 B           0 B           0 B           0 B            64  
                                  cudaDeviceSynchronize         0.01%      16.300us         0.01%      16.300us       1.811us       1.056us         0.00%       1.056us       0.117us           0 B           0 B           0 B           0 B             9  
                                Activity Buffer Request         0.30%     614.297us         0.30%     614.297us     614.297us       0.864us         0.00%       0.864us       0.864us           0 B           0 B           0 B           0 B             1  
                                          ProfilerStep*         0.07%     150.089us       100.00%     205.965ms      25.746ms       0.000us         0.00%     110.338ms      13.792ms           0 B           0 B           0 B           0 B             8  
                                      nano::decode_step        19.98%      41.155ms        99.93%     205.815ms      25.727ms       0.000us         0.00%     110.338ms      13.792ms           0 B      -1.80 KB           0 B      -1.29 GB             8  
                                            aten::empty         0.81%       1.675ms         0.83%       1.700ms       1.562us       0.000us         0.00%       0.000us       0.000us       1.00 KB       1.00 KB     192.31 MB     192.31 MB          1088  
                                         cudaEventQuery         0.01%      29.680us         0.01%      29.680us       0.521us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            57  
                                               aten::to         0.64%       1.318ms        10.90%      22.442ms       4.992us       0.000us         0.00%       5.409ms       1.203us       1.00 KB           0 B     385.25 MB           0 B          4496  
                                       aten::lift_fresh         0.00%       2.750us         0.00%       2.750us       0.049us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            56  
                                          aten::detach_         0.00%       2.730us         0.00%       2.730us       0.049us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            56  
                                         aten::_to_copy         1.92%       3.948ms        10.26%      21.124ms       6.184us       0.000us         0.00%       5.409ms       1.583us       1.00 KB           0 B     385.25 MB           0 B          3416  
                                    aten::empty_strided         2.29%       4.720ms         2.29%       4.720ms       1.308us       0.000us         0.00%       0.000us       0.000us       1.00 KB       1.00 KB     393.50 MB     393.50 MB          3608  
                                        cudaMemcpyAsync         0.15%     302.958us         0.15%     302.958us       4.208us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            72  
                                  cudaStreamSynchronize         4.63%       9.535ms         4.63%       9.535ms     397.312us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            24  
                                        aten::embedding         0.00%       8.710us         0.06%     131.649us      16.456us       0.000us         0.00%      36.320us       4.540us           0 B           0 B       1.00 MB           0 B             8  
                                          aten::resize_         0.01%      17.380us         0.01%      17.380us       1.086us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       1.00 MB       1.00 MB            16  
                                      aten::result_type         0.07%     142.929us         0.07%     142.929us       0.170us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           840  
                                        aten::unsqueeze         0.27%     550.256us         0.39%     806.886us       1.261us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           640  
                                       aten::as_strided         0.78%       1.609ms         0.78%       1.609ms       0.270us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          5968  
                                nano::gdn_layer_forward        13.55%      27.917ms        38.29%      78.861ms     410.734us       0.000us         0.00%      25.551ms     133.078us           0 B           0 B      24.00 MB    -579.47 MB           192  
                                           aten::linear         0.66%       1.366ms        11.40%      23.473ms      13.521us       0.000us         0.00%      89.941ms      51.810us           0 B           0 B     409.00 MB           0 B          1736  
                                                aten::t         0.53%       1.084ms         1.39%       2.855ms       1.637us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1744  
                                        aten::transpose         0.78%       1.608ms         1.08%       2.224ms       0.986us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2256  
                                           aten::matmul         0.94%       1.931ms         9.36%      19.272ms      11.102us       0.000us         0.00%      89.941ms      51.810us           0 B           0 B     409.00 MB           0 B          1736  
                                          aten::reshape         0.99%       2.041ms         1.64%       3.371ms       1.285us       0.000us         0.00%     101.885us       0.039us           0 B           0 B       8.00 MB           0 B          2624  
                                             aten::view         0.35%     721.677us         0.35%     721.677us       0.275us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2624  
                                         cuLaunchKernel         2.20%       4.523ms         2.20%       4.523ms       2.252us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2008  
                                     aten::_unsafe_view         0.14%     285.710us         0.14%     285.710us       0.279us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1024  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 205.966ms
Self CUDA time total: 116.992ms
