-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request         0.24%     606.119us         0.24%     606.119us     606.119us       0.832us         0.00%       0.832us       0.832us           0 B           0 B           0 B           0 B             1  
                                           Buffer Flush         0.03%      77.541us         0.03%      77.541us      38.770us       0.832us         0.00%       0.832us       0.416us           0 B           0 B      63.50 KB      63.50 KB             2  
                                          ProfilerStep*         0.06%     139.751us       100.00%     253.289ms      31.661ms       0.000us         0.00%     119.352ms      14.919ms           0 B           0 B           0 B           0 B             8  
                                      nano::decode_step        16.27%      41.199ms        99.94%     253.149ms      31.644ms       0.000us         0.00%     119.352ms      14.919ms           0 B           8 B           0 B      -3.43 GB             8  
                                            aten::empty         0.83%       2.107ms         0.84%       2.129ms       1.439us       0.000us         0.00%       0.000us       0.000us         512 B         512 B       1.54 GB       1.54 GB          1480  
                                         cudaEventQuery         0.01%      27.121us         0.01%      27.121us       0.484us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            56  
                                               aten::to         0.54%       1.377ms         9.11%      23.085ms       4.916us       0.000us         0.00%       5.263ms       1.121us         256 B           0 B     102.59 MB           0 B          4696  
                                       aten::lift_fresh         0.00%       2.900us         0.00%       2.900us       0.045us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            64  
                                          aten::detach_         0.00%       3.060us         0.00%       3.060us       0.048us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            64  
                                         aten::_to_copy         1.56%       3.958ms         8.57%      21.708ms       6.340us       0.000us         0.00%       5.263ms       1.537us         256 B           0 B     102.59 MB           0 B          3424  
                                    aten::empty_strided         2.31%       5.851ms         2.31%       5.851ms       1.396us       0.000us         0.00%       0.000us       0.000us         256 B         256 B     170.66 MB     170.66 MB          4192  
                                        cudaMemcpyAsync         0.71%       1.786ms         0.71%       1.786ms       6.568us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           272  
                                  cudaStreamIsCapturing         0.01%      13.050us         0.01%      13.050us       0.272us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            48  
                                 nano::gdn_state_gather         0.62%       1.564ms         1.87%       4.730ms     591.249us       0.000us         0.00%       2.867ms     358.335us           0 B        -256 B       1.55 GB      -4.00 KB             8  
                                  cudaStreamSynchronize         3.77%       9.557ms         3.77%       9.557ms     298.666us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            32  
                                            aten::slice         0.53%       1.339ms         0.68%       1.715ms       0.837us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2048  
                                       aten::as_strided         0.87%       2.207ms         0.87%       2.207ms       0.267us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          8272  
                                           aten::select         0.35%     883.987us         0.44%       1.112ms       0.966us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1152  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 253.289ms
Self CUDA time total: 119.853ms
